land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room,parking_space,front_garden,swimming_pool,house_age,crime_rate_index,property_value
195,187,4,3,1,1,1,1,4,3.65,192284
116,100,1,1,0,0,0,0,14,4.36,76826
239,205,4,5,1,1,0,1,8,0.92,192173
234,221,3,3,1,0,1,0,15,4.44,186721
269,259,4,4,1,1,1,1,5,2.64,222170
156,142,3,1,0,1,1,0,15,1.99,143898
308,265,5,3,1,1,1,1,12,3.21,282973
216,211,4,5,1,1,1,1,11,3.12,184876
413,379,6,4,1,1,1,1,15,3.85,339498
103,102,1,2,1,0,0,0,16,1.74,87402
226,201,3,3,0,0,0,0,15,5.11,159508
224,210,4,2,0,1,0,0,18,2.91,163962
299,278,5,3,1,1,1,1,20,0.04,246565
182,177,2,2,0,0,0,1,3,5.12,155549
352,307,5,2,1,1,1,1,8,5.17,288480
239,213,3,2,1,1,1,0,21,3.85,191668
218,210,3,3,0,0,0,1,13,4.31,181747
469,427,6,6,1,1,1,1,14,5.84,363589
168,163,2,2,0,0,0,0,9,1.21,128495
146,128,2,3,0,1,1,0,19,1.75,115748
218,211,4,5,1,1,0,1,22,3.13,181704
286,259,4,5,1,1,1,1,21,0.23,219835
196,172,4,3,1,1,1,0,7,5.62,149434
199,189,4,2,1,1,1,1,7,3.18,182669
258,241,4,4,1,1,0,0,22,0.97,200244
298,282,5,4,1,1,1,1,9,3.31,222028
351,302,5,3,1,1,0,1,19,5.49,273884
331,295,5,3,1,1,1,1,10,2.01,280459
707,706,8,8,1,1,1,1,8,5.98,633937
131,114,1,1,1,0,0,0,4,0.67,96597
111,100,1,1,1,1,1,0,7,3.99,91143
339,319,5,3,1,1,1,1,3,4.33,278842
351,349,5,4,1,0,1,1,13,5.96,278214
575,510,7,5,1,1,1,1,14,1.11,481957
199,190,3,1,1,0,0,0,14,4.72,154835
335,301,5,5,1,1,1,1,9,2.9,287783
564,550,7,5,1,1,1,1,9,1.74,462835
188,184,2,1,1,0,0,1,11,1.31,166690
201,199,3,1,1,0,0,0,10,1.11,157217
282,242,5,3,0,1,1,1,3,0.09,258670
208,195,3,4,1,0,0,0,6,0.12,168724
328,313,5,5,1,1,1,1,17,4.45,240075
339,306,5,3,0,1,1,1,14,1.97,278212
178,176,2,1,1,0,1,0,9,5.66,143234
172,170,2,3,0,0,0,0,18,4.3,130053
235,228,3,2,1,1,0,0,17,5.4,190146
213,198,3,1,0,1,0,1,17,4.41,152609
294,285,5,5,1,1,1,1,7,1.5,258997
106,103,1,1,1,0,0,0,14,0.31,89107
526,458,7,8,1,1,1,1,12,3.45,434971
237,222,3,3,1,1,1,0,10,1.89,194061
125,116,2,3,0,1,0,1,2,1.14,115975
251,219,4,4,1,1,1,1,13,5.89,221823
220,199,4,5,1,1,1,0,2,5.99,168480
347,326,5,5,1,1,1,1,4,1.19,316226
352,315,6,5,1,1,1,1,22,1.87,299973
213,198,4,2,1,1,1,1,19,4.12,191361
240,204,4,4,0,1,0,1,16,4.29,169989
287,248,5,4,1,1,0,1,9,3.22,241830
218,192,3,1,1,1,0,1,15,1.46,188191
295,276,4,5,1,1,1,0,18,2.22,224761
269,232,4,5,1,1,1,1,16,4.13,237263
732,670,8,8,1,1,1,1,15,2.13,616074
292,260,4,5,1,1,1,1,17,1.93,223110
326,300,5,4,1,1,1,0,22,5.4,260625
302,298,5,5,1,1,1,1,13,3.76,258224
237,218,3,3,0,1,0,0,2,4.31,181262
462,432,7,6,1,1,1,1,22,4.17,376138
121,116,1,2,0,0,1,0,22,3.43,83596
290,286,4,2,1,1,0,1,17,1.2,248198
170,169,3,4,1,0,0,0,4,4.67,119513
171,165,3,2,1,1,0,1,22,2.58,133973
284,277,4,2,1,1,1,1,2,2.36,247026
219,191,4,2,1,1,0,1,1,0.15,195210
270,259,4,2,0,1,1,1,9,0.27,236517
126,118,1,1,0,1,0,0,20,5.45,86108
311,293,5,3,1,1,1,1,20,3.27,248858
228,197,4,2,1,1,1,1,15,4.05,226934
195,194,4,3,1,1,1,1,20,0.71,173061
150,148,2,3,0,0,0,0,3,2.43,102931
189,172,2,1,1,1,0,0,11,0.66,142666
297,274,4,2,0,1,0,1,9,3.72,234742
254,241,4,2,1,1,1,1,15,3.72,215166
105,103,1,2,1,0,0,0,8,4.92,74578
326,318,5,4,1,1,1,1,20,0.96,271447
233,231,5,5,1,1,1,1,20,1.27,203147
346,329,5,5,1,1,1,1,21,1.47,298067
184,157,3,2,1,0,1,0,2,2.41,156989
167,167,3,1,1,0,0,1,2,3.25,153839
221,196,4,4,1,1,1,1,4,4.58,193115
257,256,4,3,1,0,0,1,19,5.46,204217
139,120,2,2,0,0,0,0,14,0.42,95329
404,387,6,6,1,1,1,1,14,2.55,331662
181,175,2,1,1,1,1,0,11,1.54,140138
284,276,4,5,1,1,1,0,3,2.16,204294
249,244,5,5,1,1,1,0,10,0.47,205757
309,304,5,4,1,0,1,0,8,4.65,236765
158,137,3,2,1,1,0,0,15,3.99,121941
215,191,3,2,1,0,0,0,5,5.17,155454
327,280,5,3,1,1,1,0,8,2.76,319955
301,261,4,2,1,1,1,1,5,0.1,246785
194,191,4,5,0,0,0,1,18,3.61,157193
285,272,4,3,1,1,0,0,17,4.98,224534
147,135,2,2,0,1,0,0,22,4.5,106071
222,210,3,1,0,1,0,0,1,3.01,185050
102,97,1,1,0,0,0,0,4,3.61,81705
119,102,1,1,0,1,0,0,17,1.77,91617
287,251,4,5,1,1,1,1,20,0.09,251878
594,558,7,7,1,1,1,1,7,1.1,485251
273,259,4,5,1,1,1,1,12,5.98,239005
323,310,6,4,1,1,1,1,2,4.9,280732
209,207,3,3,0,0,0,0,8,2.99,146659
321,308,5,5,1,1,1,1,11,5.74,261140
315,277,5,2,1,1,1,1,3,2.4,277487
201,187,4,5,1,1,1,1,12,5.18,177838
276,265,4,2,1,1,1,0,3,4.45,218677
204,195,3,3,1,1,0,1,1,4.09,179334
200,198,4,5,1,1,0,1,16,5.17,149213
282,280,4,4,1,0,1,0,18,3.96,218357
262,261,5,3,1,1,1,1,2,3.45,242608
200,193,3,4,1,1,1,0,12,4.34,167090
389,356,6,6,1,1,1,1,21,1.19,311121
350,345,6,7,1,1,1,1,10,3.95,302476
291,252,5,5,1,1,1,1,20,3.99,244099
304,299,5,3,1,0,1,1,1,4.68,269943
245,237,5,3,1,1,1,1,20,5.38,207175
247,229,4,2,1,1,0,1,15,1.3,204491
236,212,4,2,0,1,1,0,6,0.67,226527
304,266,4,2,1,1,0,1,9,0.42,259447
150,146,1,2,1,0,0,0,11,0.67,107623
302,279,4,4,1,1,1,1,16,3.95,255877
289,267,4,4,1,1,1,1,11,5.1,253564
120,103,1,1,0,1,0,0,11,4.87,94746
126,119,2,1,0,1,0,1,10,5.03,119907
223,221,4,2,1,0,0,1,7,2.87,171645
238,228,4,5,0,1,0,1,4,4.92,209202
451,411,6,6,1,1,1,1,16,0.71,378002
102,89,1,2,0,1,1,0,14,0.36,97490
281,257,4,5,1,1,1,1,12,3.28,251810
275,234,4,2,1,1,0,1,9,1.57,203732
213,182,3,4,1,1,1,0,7,0.46,182073
279,268,4,5,1,1,1,1,13,1.34,256259
100,92,1,1,1,1,0,0,9,1.57,72429
164,153,3,3,1,1,1,0,17,4.64,136052
243,208,5,3,1,1,1,1,4,0.68,240139
129,126,1,2,0,0,0,0,11,5.13,86600
121,111,2,1,1,1,1,0,8,4.53,92962
192,168,4,2,1,1,1,1,22,5.56,165594
202,193,3,3,0,0,1,0,11,1.02,163867
270,245,4,5,1,1,1,0,15,3.9,230019
155,151,2,3,0,0,0,0,16,0.65,107775
256,253,4,3,1,1,0,1,18,1.6,218635
326,318,5,4,1,1,1,1,16,3.42,266852
371,334,6,6,1,1,1,1,20,5.4,299188
210,182,4,4,1,1,1,1,9,1.43,184745
185,184,2,1,0,0,0,0,9,2.35,123228
158,137,3,4,0,0,0,1,16,3.71,123849
126,118,1,2,0,0,0,0,19,0.95,93285
214,187,4,5,0,1,1,1,20,3.17,198485
133,131,2,3,1,0,0,0,14,5.79,91774
294,263,4,3,1,1,1,1,8,0.92,240268
275,237,4,2,1,1,1,1,11,0.75,252453
347,347,5,3,1,0,1,1,5,3.16,280575
186,166,3,1,0,0,0,0,5,5.59,120711
335,288,5,2,1,1,1,1,5,2.39,301216
488,474,7,5,1,1,0,1,15,3.25,391633
236,225,3,2,1,1,0,0,11,5.68,162387
230,219,3,1,0,1,0,0,12,4.05,176992
210,188,3,1,1,1,1,0,4,1.19,156943
507,507,7,7,1,1,1,1,10,3.82,412984
126,125,2,1,0,0,0,0,14,5.9,105075
279,252,4,5,1,1,1,1,9,0.88,243798
349,344,5,2,1,0,1,1,17,1.61,270197
230,208,5,3,1,1,1,1,16,3.94,205747
279,266,4,2,1,1,1,1,2,5.03,250027
183,181,2,2,0,0,0,1,8,0.22,150339
229,209,3,1,1,1,0,0,15,0.7,158692
220,220,4,4,1,1,1,1,1,3.31,213757
225,218,3,1,0,1,0,1,12,0.05,187490
220,208,3,4,0,0,1,0,9,5.51,147799
141,129,1,2,0,1,0,0,6,0.87,110770
300,300,4,4,0,0,1,1,8,1.9,214089
295,256,5,5,1,1,1,1,9,5.14,257101
258,252,4,2,1,1,1,1,16,4.12,231531
232,227,3,4,1,0,0,0,14,2.38,180936
211,210,4,3,1,1,1,1,18,0.49,200912
213,208,4,3,1,1,1,1,3,2.1,203087
228,221,4,5,1,1,0,1,16,2.42,190587
123,107,1,1,0,0,0,0,19,5.48,74588
219,208,3,4,0,1,0,0,6,3.58,160441
206,197,3,2,1,0,1,0,1,4.36,168807
278,251,4,2,1,1,1,1,15,4.5,224582
306,262,4,5,1,1,0,1,18,1.58,250645
232,217,3,4,0,1,1,0,20,2.26,181021
235,214,3,1,0,0,1,0,12,4.86,177385
264,245,4,2,1,1,1,1,17,3.51,225428
159,151,3,3,1,1,0,0,2,2.1,134211
116,111,1,2,0,0,0,0,15,4.83,95184
203,192,4,5,1,1,0,1,6,0.32,188579
212,192,4,3,1,1,1,0,19,2.98,177919
232,220,3,2,0,1,1,0,22,3.3,165869
144,127,2,2,0,1,0,0,4,0.35,105738
216,211,3,4,1,0,0,1,9,4.49,162384
178,178,3,1,0,0,0,1,8,1.19,149631
221,193,3,2,1,0,0,0,5,4.19,173453
277,248,4,3,1,1,1,0,2,4.54,232985
293,290,5,5,0,1,0,1,17,0.07,250231
223,211,3,2,1,1,0,0,4,0.15,158486
208,178,4,2,1,1,1,1,12,4.46,199055
281,246,4,3,1,1,1,0,8,4.64,217036
235,205,5,2,1,1,1,1,9,4.44,206962
137,137,1,1,1,0,0,0,15,4.86,89735
267,266,4,2,1,0,1,1,7,5.74,211921
246,216,4,3,1,1,1,1,2,5.28,227213
212,209,3,2,1,0,0,0,5,5.85,144360
196,181,4,3,0,1,1,0,22,1.03,148155
258,244,5,5,1,1,1,1,5,0.41,234734
217,193,4,3,1,1,0,1,2,1.71,165913
309,282,4,4,1,1,0,1,12,1.93,269363
230,201,3,4,0,1,0,0,3,0.1,177883
274,248,5,5,1,1,1,1,12,0.43,243876
161,161,3,4,1,0,0,1,16,2.94,145070
306,302,5,4,1,1,1,1,20,5.42,251294
111,111,1,2,1,0,0,0,21,4.48,85197
157,155,2,1,1,0,0,1,2,5.54,130667
131,113,2,3,0,0,0,1,11,1.7,110035
123,113,2,2,0,1,0,0,3,1.84,89665
190,189,4,5,1,1,1,1,12,0.38,174947
266,242,4,3,1,1,1,0,3,2.72,218217
200,193,4,4,0,1,1,1,10,3.63,183451
258,258,5,2,1,1,1,1,19,1.58,199685
471,403,8,8,1,1,1,1,7,2.99,392630
207,190,3,2,0,0,1,0,21,4.03,148489
251,244,4,4,1,1,0,1,8,4.87,219204
242,234,4,3,0,1,1,1,19,0.69,223734
354,305,5,2,1,1,1,1,21,2.97,281686
293,274,5,5,1,1,1,1,4,5.08,280413
165,164,3,2,0,0,1,0,9,1.01,144414
145,136,2,2,1,1,0,0,3,2.37,103089
216,205,4,3,1,1,1,1,16,1.9,190030
192,185,4,3,0,1,1,1,10,3.42,169506
238,210,5,3,1,1,1,1,11,2.64,211673
169,145,3,4,1,0,0,1,5,1.87,153349
113,107,1,1,0,1,0,1,18,2.85,97920
215,197,3,4,1,1,1,0,1,1.89,171471
258,256,5,3,1,0,1,1,13,2.09,208112
285,272,5,2,1,1,1,1,12,5.6,240336
165,155,3,3,0,0,0,1,19,0.53,135725
278,262,4,2,1,1,1,1,12,4.64,240832
129,111,1,1,0,0,0,0,22,0.96,94593
201,201,4,5,1,0,1,1,10,2.53,174635
287,284,5,5,1,0,1,1,10,5.16,237630
191,186,3,1,1,0,0,0,9,0.92,173289
166,152,2,1,0,0,0,1,1,2.2,129806
178,163,2,2,0,1,0,1,1,2.54,146506
169,156,3,2,1,1,0,0,8,1.87,142197
232,200,3,3,0,1,0,0,16,2.29,157665
314,304,5,2,0,1,1,0,5,5.66,237665
288,254,4,3,1,1,1,1,9,3.68,249382
340,290,5,3,1,1,1,1,7,3.22,290142
188,186,3,4,1,0,0,1,14,1.89,146608
206,189,3,4,0,1,0,0,15,5.27,159464
209,207,4,2,1,1,1,1,21,1.19,177342
172,148,2,1,0,0,0,0,15,4.42,113652
121,118,1,2,0,0,0,0,6,3.5,80640
110,100,1,1,1,0,0,0,17,0.17,82092
230,203,4,4,1,1,1,1,17,0.39,216298
143,132,1,1,0,1,0,0,7,5.86,111090
183,173,2,1,0,1,0,1,6,5.23,163579
226,215,3,3,1,1,1,0,11,1.98,210203
265,255,4,3,1,1,1,0,19,2.61,200090
421,389,7,5,1,1,1,1,22,4.61,342979
151,142,3,3,0,1,0,0,16,4.75,119642
410,362,7,7,1,1,1,1,15,0.4,347023
117,110,1,1,0,0,0,0,15,3.09,73259
205,203,4,5,0,0,0,1,18,5.21,167198
216,214,3,3,0,0,1,0,22,2.07,163013
166,142,3,3,1,1,0,0,10,3.16,134523
304,268,5,4,1,1,1,1,9,2.58,264890
317,276,5,3,1,1,1,1,16,2.76,304197
128,112,1,1,0,0,0,0,20,5.81,85093
297,267,4,3,1,1,0,1,2,3.67,254980
251,239,5,5,1,1,1,0,7,4.99,216225
315,281,5,3,1,1,1,1,13,0.76,266922
154,149,3,2,0,0,0,1,13,4.43,135239
334,295,5,4,1,1,1,1,6,2.11,291314
301,295,4,2,1,1,1,1,18,4.6,211264
304,264,5,5,1,1,1,1,21,2.33,254959
229,196,4,4,1,1,1,1,1,3.25,213259
301,274,4,4,1,1,1,0,14,3.06,211332
183,160,3,1,0,0,1,0,3,0.77,169796
265,240,4,3,1,1,1,1,3,3.11,246977
287,245,5,4,1,1,1,1,19,4.72,230689
182,164,2,3,0,1,0,1,18,2.04,138128
150,148,1,2,0,0,0,0,17,4.51,90323
337,318,5,3,1,1,1,1,22,5.18,265508
235,223,4,4,1,1,1,0,11,3.28,191229
340,309,5,2,1,1,0,1,21,2.85,266217
230,211,4,4,1,1,1,1,8,0.25,182936
497,439,7,8,1,1,1,1,19,4.7,410150
360,359,5,5,1,1,1,1,18,5.32,285274
321,287,6,7,1,1,1,1,6,5.36,309603
256,245,4,4,1,1,1,1,10,4.61,226431
173,157,2,1,0,1,0,1,11,5.45,123955
294,292,4,5,1,0,1,1,16,0.68,240637
300,292,5,2,1,1,1,1,17,1.83,252552
256,243,4,4,1,1,1,1,3,1.64,221797
235,203,4,4,0,1,1,1,3,4.98,209576
165,146,3,3,1,0,1,0,10,4.53,124165
303,271,4,3,1,1,1,1,2,3.11,259452
169,156,2,2,1,1,0,0,21,2.63,108676
280,260,4,4,0,1,1,1,17,2.97,231117
263,247,4,3,1,1,1,1,18,2.4,246318
146,131,1,2,0,1,0,0,22,0.41,124949
211,186,3,2,1,1,0,0,9,5.34,152813
152,135,3,4,0,0,0,1,6,4.03,123624
137,131,1,2,0,0,0,0,1,1.22,106898
267,240,5,5,1,1,1,1,10,2.65,239957
175,164,3,4,0,0,1,0,7,3.53,117941
284,253,5,3,0,1,1,1,3,3.32,226460
124,123,1,1,0,0,0,0,8,0.83,84013
221,190,3,4,1,1,1,0,16,2.24,204873
216,202,4,4,1,1,0,1,22,0.06,192404
222,221,4,5,1,0,1,1,2,4.77,188729
215,212,4,3,1,1,0,1,21,4.16,159951
293,273,5,2,1,1,1,1,17,1.09,268572
161,143,2,1,0,0,1,0,4,0.35,125420
201,193,3,2,0,0,0,0,16,5.97,122177
318,279,5,3,1,1,1,0,5,5.05,255561
270,253,4,2,1,1,0,1,18,0.51,213956
247,236,5,4,0,1,1,1,7,5.58,204578
265,231,4,5,1,1,1,1,9,2.15,278178
253,250,4,5,0,1,1,1,20,3.61,208624
542,537,7,7,1,1,1,1,5,1.55,442963
123,123,1,1,1,0,0,0,21,2.54,97975
122,111,1,1,0,1,0,0,15,1.09,97123
200,195,3,4,0,0,1,0,16,5.46,158833
232,228,5,2,1,1,0,1,3,5.42,206522
229,206,3,2,1,0,0,0,18,1.8,158783
275,253,4,4,1,1,1,1,22,5.74,206450
276,271,5,2,1,1,1,1,9,3.14,238341
282,255,5,5,1,1,1,0,5,0.2,235811
301,290,5,3,1,1,1,1,6,5.27,271236
361,327,6,4,1,1,1,1,4,3.16,299391
213,191,4,5,1,1,1,1,14,3.19,188032
282,241,4,4,1,1,1,0,16,5.72,210328
238,229,5,3,1,1,1,1,21,0.29,214802
199,190,4,3,1,1,1,1,12,5.92,170845
462,431,7,7,1,1,1,1,1,2.41,397105
139,127,1,2,0,0,1,0,8,0.02,109765
113,102,1,2,0,1,0,0,16,2.94,79384
300,265,4,2,1,1,1,1,10,0.67,259138
150,145,1,2,1,0,0,0,8,0.66,115801
245,220,4,3,0,1,1,0,13,4.62,190805
190,167,3,1,0,1,0,1,16,2.39,187984
204,204,3,1,0,0,0,1,21,0.53,160866
229,222,4,2,1,1,1,1,13,5.69,180488
106,100,1,1,1,1,0,0,11,3.03,81292
305,287,6,4,1,1,1,1,6,0.42,279286
114,98,1,2,1,1,0,0,14,1.61,104317
302,291,5,3,1,1,1,1,16,0.2,253123
221,196,3,1,1,1,0,0,14,1.34,173442
327,300,5,4,1,1,1,1,16,1.26,282086
205,199,4,2,0,1,1,1,9,5.47,156838
244,222,4,3,1,1,1,1,7,0.73,215734
352,352,5,4,1,1,1,1,20,5.93,251200
465,422,7,4,1,1,1,1,3,5.18,389276
297,254,4,2,0,1,1,1,20,1.58,233764
123,109,1,2,1,0,0,0,12,5.71,81970
523,518,7,4,1,1,1,1,11,3.02,421836
341,296,5,3,1,1,1,0,10,5.12,269148
125,124,1,2,0,0,1,0,12,4.29,83615
119,114,1,2,1,0,0,0,20,4.98,86036
348,311,5,5,0,1,1,1,13,0.17,290403
282,272,5,4,1,1,1,1,18,1.36,231205
333,307,5,3,1,1,1,1,21,5.99,260258
220,215,3,1,0,0,0,0,20,3.83,134915
258,227,4,2,1,1,1,1,4,4.35,236815
273,242,5,3,1,1,1,1,4,4.54,236549
167,144,2,3,1,0,0,1,17,3.46,148513
200,200,3,4,1,0,0,0,1,0.55,143354
264,229,4,2,1,1,1,1,20,4.31,198294
106,95,1,2,1,1,0,0,6,5.5,92886
252,237,4,3,1,1,0,1,10,5.46,214352
198,193,4,2,1,0,1,0,13,1.78,168933
210,197,4,3,1,1,1,1,10,1.92,207116
140,126,1,1,0,0,0,0,1,1.44,108908
209,179,3,2,1,1,0,0,10,4.67,195636
275,246,4,5,1,1,1,1,22,0.4,275476
337,318,5,4,1,1,1,1,2,2.3,295851
547,501,7,8,1,1,1,1,10,3.71,436648
145,143,1,2,0,0,0,0,7,1.91,108924
281,255,4,3,1,1,1,1,19,5.2,216315
253,229,4,2,1,1,1,0,4,0.25,218512
541,469,7,8,1,1,1,1,9,1.95,452774
189,189,3,4,1,0,0,1,17,1.67,177270
174,160,2,3,1,1,0,1,14,2.35,144421
199,198,3,1,0,0,0,0,5,4.73,155102
238,219,4,4,1,1,0,1,3,2.47,224645
266,238,5,5,0,1,1,1,2,3.61,246371
305,275,4,5,1,1,1,0,8,1.86,235295
238,225,4,5,1,1,0,1,8,2.14,227194
351,321,5,3,1,1,1,1,6,5.14,267069
266,263,4,2,1,1,1,1,17,5.17,221181
222,222,4,5,1,1,0,1,22,2.25,177497
122,121,2,3,0,0,1,0,18,5.41,93031
239,226,5,3,1,1,1,1,20,0.97,219944
178,154,2,1,0,1,0,0,11,0.23,136680
199,172,4,3,1,1,0,1,11,2.02,173375
592,518,7,5,1,1,1,1,20,5.29,462464
210,205,4,4,1,1,1,1,7,3.9,183988
269,253,4,4,1,1,1,1,2,4.45,208448
293,275,5,3,1,1,1,1,2,5.41,255478
134,125,1,1,1,1,0,0,19,0.83,93962
310,268,4,2,1,1,0,1,8,1.02,268550
150,138,1,2,0,1,0,0,21,5.77,98954
303,271,6,4,1,1,1,1,5,3.27,271240
294,260,4,3,1,1,1,0,22,4.79,244117
313,286,5,3,1,1,1,0,15,4.48,217061
211,188,3,3,0,1,0,1,11,3.24,174751
345,342,5,5,1,1,1,1,14,4.24,270050
555,545,7,5,1,1,1,1,1,4.61,465474
306,279,5,2,1,1,1,1,21,2.82,275227
258,253,4,2,1,1,0,1,15,3.56,216373
228,197,4,3,1,1,1,1,10,4.84,213272
324,293,5,2,1,1,1,1,4,5.4,280921
277,274,5,5,1,0,1,1,18,2.91,223126
134,127,2,3,0,1,1,0,20,2.75,100626
338,315,6,5,1,1,1,1,20,0.59,284950
274,235,4,2,1,1,1,1,7,0.48,257636
217,216,4,3,1,1,0,0,4,1.91,199060
279,260,4,3,1,1,0,1,22,4.4,228505
139,127,1,2,0,0,0,0,19,1.97,99448
221,211,4,3,1,1,1,1,4,3.2,209507
196,189,4,4,1,1,1,1,10,1.73,181160
293,254,5,5,1,1,0,0,2,3.27,244179
246,221,4,3,1,1,1,1,5,3.53,229984
152,151,3,2,0,0,1,0,7,5.97,114839
201,180,4,5,1,1,1,1,1,1.61,182184
102,91,1,2,0,1,0,0,5,1.8,68794
404,365,6,4,1,1,1,1,21,3.91,318141
190,179,3,3,1,1,1,0,17,2.36,148956
584,509,7,6,1,1,1,1,11,0.35,478267
240,230,3,3,1,1,1,0,4,3.32,176495
301,287,4,3,1,1,1,1,13,4.06,249095
250,230,5,4,1,1,1,1,6,2.37,229479
229,195,4,4,1,1,1,1,15,0.11,210232
110,99,1,1,0,0,1,0,22,5.2,68727
181,161,2,3,1,1,0,1,12,4.4,161613
542,505,7,4,1,1,1,1,15,1.19,431018
157,145,3,2,0,1,0,0,2,4.52,124535
289,269,5,3,1,1,1,1,21,5.28,241591
117,104,1,1,1,0,0,0,13,3.11,82579
307,301,4,4,1,1,0,1,10,0.56,275159
297,268,4,4,1,1,0,1,5,2.31,267067
333,289,5,4,1,1,1,0,1,3.99,294463
692,593,8,9,1,1,1,1,2,5.27,560537
294,267,4,3,1,1,1,0,3,0.44,233537
120,111,1,1,1,1,0,0,21,3.01,88804
337,303,5,4,1,1,1,1,8,4.24,274690
285,243,5,2,1,1,0,0,6,0.35,209426
